case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
84,1987,US,Baxter v. MCA,https://blogs.law.gwu.edu/mcir/case/baxter-v-mca-inc/,9th Cir.,Joy,Leslie Baxter,Theme from 'E.T.',John Williams
85,1987,US,Siskind v. Newton-John,https://blogs.law.gwu.edu/mcir/case/laura-siskind-v-olivia-newton-john/,S.D.N.Y.,Take a Chance on Love,Laura Siskind,Take a Chance,Olivia Newton-John
86,1987,CA,Verge v. Imperial Oil Ltd.,https://blogs.law.gwu.edu/mcir/case/verge-v-imperial-oil-ltd/,,It's a Brand New World,Cyril Verge,Hockey Night Theme,Steven Benderoth
87,1987,UK,Warner Bros. v. Dundas,https://blogs.law.gwu.edu/mcir/case/warner-bros-v-dundas/,Ch. D.,Martha,Tom Waits,Advertisement for Kenco Coffee,David Dundas
88,1987,UK,Williamson v. Pearson Partnership,https://blogs.law.gwu.edu/mcir/case/williamson-v-pearson-partnership/,Ch. D.,"""There is Nothing Like a Dame""",Rogers & Hammerstein,Advertisement for Rapid Coach Service,Denis King
89,1988,US,Gaste v. Morris Kaiserman,https://blogs.law.gwu.edu/mcir/case/gaste-v-morris-kaiserman/,2d Cir.,Pour Toi,Louis Gaste,Feelings,Morris Kaiserman
90,1988,DE,Magazine-Music Verlag v. Ralph Siegel,https://blogs.law.gwu.edu/mcir/case/magazine-music-verlag-v-ralph-siegel/,BGH [Federal Court of Justice],Alle Liebe dieser Erde; Un canto a galicia,Julio Iglesias,Ein bisschen Frieden,Nicole
91,1988,DE,Edition Magazine Music v. Sony ATV,https://blogs.law.gwu.edu/mcir/case/edition-magazine-music-v-sony-atv/,BGH [Federal Court of Justice],…wie ein Kind,Katy Kassay,Fantasy,"Earth, Wind & Fire"
92,1989,AU,CBS Records Australia v. Guy Cross,https://blogs.law.gwu.edu/mcir/case/cbs-records-australia-v-guy-cross/,Fed. Ct. Aus.,Ring My Bell (CBS Version),Collette Roberts,Ring My Bell (Trackdown Version),Guy Cross
93,1990,US,Queen & David Bowie v. Vanilla Ice,https://blogs.law.gwu.edu/mcir/case/queen-david-bowie-v-vanilla-ice/,,Under Pressure,Queen & David Bowie,Ice Ice Baby,Vanilla Ice
94,1990,US,Dawson v. Hinshaw Music,https://blogs.law.gwu.edu/mcir/case/dawson-v-hinshaw-music/,4th Cir.,Ezekiel Saw De Wheel,William Dawson (Arr.),Ezekiel Saw De Wheel,Gilbert Martin (Arr.)
95,1990,US,Levine v. McDonald's Corp.,https://blogs.law.gwu.edu/mcir/case/levine-v-mcdonalds-corp/,S.D.N.Y.,Life is a Rock (But the Radio Rolled Me,Paul DiFranco and Norman Dolph,Menu Song,McDonalds Corp.
96,1990,US,Black v. Gosdin,https://blogs.law.gwu.edu/mcir/case/black-v-gosdin/,M.D. Tenn.,The Jukebox,Damon Black,Set 'Em Up Joe,Vern Gosdin
97,1991,CA,Grignon v. Roussel,https://blogs.law.gwu.edu/mcir/case/grignon-v-roussel/,Federal Court of Canada,Chanson Numero 7,Rene Grignon,Tous Les Juke-box,Jean-Alain Roussel
98,1991,US,Grand Upright v. Warner,https://blogs.law.gwu.edu/mcir/case/grand-upright-v-warner/,S.D.N.Y.,Alone Again (Naturally),"Raymond ""Gilbert"" O'Sullivan",Alone Again,Biz Markie
99,1991,US,Intersong-USA v. CBS,https://blogs.law.gwu.edu/mcir/case/intersong-usa-v-cbs/,S.D.N.Y.,Es,Enrique Chia,Hey,"Mario Balducci, Julio Iglesias"
100,1991,US,McDonald v. Multimedia Entertainment,https://blogs.law.gwu.edu/mcir/case/mcdonald-v-multimedia-entertainment-inc/,S.D.N.Y.,"Proposed Theme Music for ""Sally Jesse Raphael Show""",Gerard McDonald,"Theme Music for ""Sally Jesse Raphael Show""",Dan Radlauer
101,1991,DE,Enigma v. Phlegma 1991,https://blogs.law.gwu.edu/mcir/case/enigma-v-phlegma-parties-names-still-tbd/,OLG Munich,Sadeness I,Enigma,Madness I,Phlegma
102,1991,DE,EMI U Catalog Inc. v. Far Musikverlag,https://blogs.law.gwu.edu/mcir/case/emi-u-catalog-inc-v-far-musikverlag/,BGH [Federal Court of Justice],There´s a Brown Girl in the Ring,Tony McKay aka Exuma,Brown Girl in the Ring,Boney M.
103,1991,DE,Herbolzheimer v. Farian,https://blogs.law.gwu.edu/mcir/case/peter-herbolzheimer-v-frank-farian/,BGH [Federal Court of Justice],Brown Girl,Malcolm’s Lock,Brown Girl in the Ring,Boney M.
104,1992,US,Chiate v. Morris,https://blogs.law.gwu.edu/mcir/case/chiate-v-morris/,9th Cir.,Hello It's Me / I Just Called to Say,Lloyd Chiate,I Just Called to Say I Love You,Stevland Morris
105,1992,US,Moore v. Columbia Pictures,https://blogs.law.gwu.edu/mcir/case/moore-v-columbia-pictures/,8th Cir.,She Can't Stand It,Derrick D. Moore,"On Our Own (from ""Ghostbusters II"")",Antonio Reid and Kenny Edmonds
106,1993,UK,EMI Music v. Papathanasiou,https://blogs.law.gwu.edu/mcir/case/emi-music-v-papathanasiou/,Ch. D.,City of Violets,Stavros Logarides,"Theme from ""Chariots of Fire""",Evangelos Papathanasiou
107,1993,US,Jarvis v. A & M Records,https://blogs.law.gwu.edu/mcir/case/jarvis-v-a-m-records/,D.N.J.,The Music's Got Me,Boyd Jarvis,Get Dumb! (Free Your Body),Robert Clivilles and David Cole
108,1993,US,Tempo Music v. Famous Music,https://blogs.law.gwu.edu/mcir/case/tempo-music-v-famous-music/,S.D.N.Y.,Satin Doll,"Duke Ellington, Billy Strayhorn, Johnny Mercer",,
109,1993,US,Sylvestre v. Oswald,https://blogs.law.gwu.edu/mcir/case/sylvestre-v-oswald/,S.D.N.Y.,Heaven,Michael Sylvestre and Dougals Richwine,Heaven,Jani Lane
110,1993,FR,Les Inconnus v. Parker,https://blogs.law.gwu.edu/mcir/case/les-inconnus-v-parker/,TGI [Tribunale de grande instance] Paris,Auteuil Neuilly Passy,Les Inconnus,Southwick,Maceo And All The King's Men
111,1994,CA,Drynan v. Rostad,https://blogs.law.gwu.edu/mcir/case/drynan-v-rostad/,Ontario Court of Justice,Filion Family Welcome,James Drynan,Here We Are On the Road Again,Wayne Rostad
112,1994,US,Campbell v. Acuff-Rose,https://blogs.law.gwu.edu/mcir/case/campbell-v-acuff-rose/,Supreme Court,"Oh, Pretty Woman",Williams Dees and Roy Orbison,"Oh, Pretty Woman",Luther Campbell
113,1994,US,Fantasy v. Fogerty,https://blogs.law.gwu.edu/mcir/case/fantasy-v-fogerty/,Supreme Court,Run Through the Jungle,John Fogerty,The Old Man Down the Road,John Fogerty
114,1994,US,Tin Pan Apple v. Miller Brewing,https://blogs.law.gwu.edu/mcir/case/tin-pan-apple-v-miller-brewing/,S.D.N.Y.,Stick 'em,Morales and Robertson [Fat Boys],TV ad for Miller Lite,Miller Brewing Co.
115,1995,US,Crystal Cartier v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/crystal-cartier-v-michael-jackson/,10th Cir.,Dangerous,Crystal Cartier,Dangerous,Michael Jackson
116,1995,US,La Cienega Music Co. v. ZZ Top,https://blogs.law.gwu.edu/mcir/case/la-cienega-music-co-v-zz-top/,9th Cir.,Boogie Chillen,John Hooker and Bernard Besman,La Grange,"William Gibbons, et al."
